33,44,41,24,18,9,5,16,39,27,10,33,11,9,15,39,17,17,49,7,38,21,32,23,27,13,23,30,11,38,11,37,50,16,36,36,12,44,7,23,20,28,10,6,42,25,15,11,20,18,24,48,19,21,38,32,33,15,42,8,44,38,48,29,6,12,31,39,15,16,31,15,26,45,42,19,48,15,10,44,14,8,49,7,12,49,17,13,32,21,28,41,26,18,12,24,35,12,42,19,29,48,34,14,43,40,46,14,24,5,41,9,43,47,50,39,45,48,26,21,10,43,6,24,27,50,11,31,46,14,23,45,9,25,14,28,9,15,35,17,9,22,40,5,29,27,19,7,22,26,
24,30,6,24,50,27,38,34,38,14,48,47,48,47,22,33,15,10,8,46,47,45,19,33,46,9,18,35,29,27,13,8,47,13,26,31,27,21,18,49,26,5,30,21,32,6,11,11,45,35,15,47,11,6,18,48,34,17,32,27,45,39,49,38,30,18,49,36,6,47,44,42,7,29,37,47,49,19,40,28,6,46,14,50,18,20,6,34,24,46,15,34,14,39,22,46,28,20,33,42,36,6,30,38,11,28,8,15,26,30,10,37,25,23,41,19,7,18,34,6,21,6,28,48,17,39,21,25,10,47,30,12,10,9,34,22,25,18,28,46,36,46,48,15,24,25,36,36,30,33,
8,12,48,30,43,12,50,28,32,5,42,13,36,36,33,7,47,27,20,26,22,17,35,37,20,23,28,49,22,32,36,46,48,30,41,26,31,11,44,24,47,8,26,19,13,50,36,44,24,11,37,21,36,47,31,26,49,5,13,31,25,29,33,49,19,31,8,26,11,17,44,49,18,48,30,22,26,17,41,50,23,43,40,14,24,22,19,42,41,24,37,36,5,24,13,16,14,22,13,6,30,37,48,21,15,43,5,37,37,11,43,14,9,8,19,32,30,14,29,47,33,10,33,6,35,5,13,14,28,24,45,12,50,29,37,21,45,8,40,15,22,49,24,38,23,5,40,14,40,42,
16,45,33,31,12,38,46,37,20,14,45,31,36,39,31,44,23,6,17,11,40,46,10,20,29,17,31,13,41,13,11,25,15,46,30,49,20,28,48,26,47,35,34,20,33,19,28,50,27,7,37,25,40,24,16,19,46,17,7,36,36,28,43,39,40,48,30,20,45,38,7,41,24,14,34,43,29,34,37,15,46,20,42,29,16,49,23,44,39,41,36,32,38,6,16,42,22,5,26,37,49,44,14,47,13,41,29,50,6,18,31,10,23,16,6,9,28,19,40,24,20,47,38,47,12,43,18,50,17,26,8,38,18,44,19,9,37,31,21,23,40,26,9,42,17,28,18,29,40,41,
37,39,39,18,34,25,38,15,44,11,41,37,43,16,32,5,10,44,25,39,31,45,21,31,36,7,9,30,48,33,5,50,6,6,18,36,19,47,45,25,18,43,49,7,24,13,17,20,5,12,26,7,41,38,9,45,27,35,7,24,31,33,6,27,31,21,22,6,19,33,43,37,48,34,6,11,14,39,42,10,27,19,7,46,23,19,7,25,46,40,8,14,44,22,20,39,16,10,49,27,30,32,39,22,24,37,17,40,28,19,22,9,13,40,39,11,14,32,34,22,15,21,42,48,38,37,16,43,23,20,20,45,23,29,8,49,43,26,7,6,21,12,21,44,21,19,8,7,16,25,
43,7,28,14,45,33,11,12,43,33,35,6,18,35,34,16,7,30,43,41,27,26,39,44,10,26,34,16,24,48,26,32,47,9,24,19,6,11,35,15,14,20,11,41,44,19,11,35,27,41,43,50,22,38,46,10,26,9,20,18,25,42,27,50,38,27,39,48,5,30,16,50,48,42,46,42,12,45,14,18,40,27,15,6,34,31,8,14,13,14,23,21,32,37,10,38,12,18,33,35,35,39,43,46,16,48,13,7,40,41,48,35,28,40,50,50,42,20,49,41,26,38,17,21,35,48,17,11,10,36,20,20,10,46,19,28,39,19,18,24,40,16,8,22,23,21,43,41,39,30,
27,45,49,11,25,26,36,46,38,32,28,37,36,17,28,33,9,26,42,17,7,45,35,18,17,41,33,14,47,41,20,36,24,31,40,33,25,24,16,50,10,41,13,45,35,50,31,43,38,27,50,46,15,28,19,10,13,20,15,5,50,15,30,31,14,41,46,9,23,16,26,46,23,37,26,34,21,5,45,34,34,5,7,28,35,40,37,14,7,47,46,23,15,48,33,8,46,6,26,42,21,22,14,32,13,26,39,20,5,34,37,47,45,45,32,5,23,6,24,15,28,5,33,5,36,48,15,29,38,10,31,17,8,40,46,20,30,40,14,43,31,47,9,10,17,26,10,37,6,9,
19,36,31,46,28,38,11,43,47,8,28,26,13,26,40,20,10,5,34,23,8,16,48,11,5,41,19,23,20,42,34,13,28,20,49,23,44,9,50,11,6,16,25,40,5,6,26,19,35,35,22,39,38,28,33,46,42,11,12,41,31,31,37,28,40,30,39,48,26,7,8,24,33,43,21,27,31,21,22,24,18,13,25,50,50,45,41,37,15,13,46,46,21,27,9,15,43,18,46,41,11,34,12,6,44,31,32,43,25,31,14,49,38,14,29,38,47,27,46,49,12,29,16,26,7,25,21,49,47,26,32,8,15,45,31,23,5,46,50,5,31,28,32,17,22,42,25,11,44,13,
28,9,23,21,31,44,31,20,29,28,34,13,50,14,17,43,21,48,7,25,13,27,5,49,10,48,35,20,47,29,41,19,8,28,27,45,13,29,18,19,9,23,47,8,41,28,23,37,22,9,8,47,10,22,14,17,46,37,6,38,23,20,7,35,16,18,23,11,48,12,50,47,44,6,33,48,10,22,30,32,36,21,7,8,32,49,44,43,39,13,14,10,7,44,24,50,37,6,48,26,26,34,6,41,9,35,45,36,45,20,12,24,38,44,8,5,32,24,42,20,7,18,22,34,42,6,47,33,19,33,25,31,13,29,14,31,20,9,14,24,25,32,30,47,7,13,7,35,25,49,
24,31,9,18,47,43,29,16,18,12,42,6,15,43,33,42,22,41,21,28,20,7,18,46,46,31,50,45,20,30,50,37,27,5,46,38,49,29,26,31,40,6,39,5,44,44,38,19,31,36,10,7,16,21,39,34,39,10,21,46,12,18,11,44,17,50,21,38,20,41,47,43,41,8,47,15,6,34,28,10,12,11,46,39,7,8,33,35,22,31,39,6,5,35,42,18,45,20,9,27,38,14,50,20,48,41,25,40,15,30,41,46,35,16,42,11,29,38,30,17,15,39,31,40,30,15,41,34,5,49,45,26,48,26,23,22,43,40,40,10,34,50,24,23,32,29,24,25,27,6,
