7,3,14,24,1,25,22,24,24,16,18,22,11,11,12,4,3,2,8,4,25,6,24,5,17,
17,6,7,13,13,3,5,4,6,14,6,9,24,20,25,11,3,23,5,13,3,8,10,16,23,
9,22,6,13,17,4,4,6,6,15,12,5,15,9,14,1,11,5,17,18,25,5,13,4,8,
6,18,4,14,3,10,22,14,19,22,3,24,11,4,16,22,2,17,19,6,16,22,6,15,19,
2,19,21,22,15,3,18,8,9,12,22,16,19,14,17,6,10,24,11,24,13,25,14,25,12,
21,6,6,20,15,7,24,14,13,17,10,6,23,23,18,6,3,23,13,3,18,9,15,1,19,
13,21,5,4,21,16,25,19,22,11,4,20,12,9,22,1,9,10,13,7,10,25,3,13,21,
11,11,3,7,6,12,17,8,22,13,19,21,21,11,15,7,4,7,14,16,17,11,9,25,3,
23,10,20,12,25,22,19,18,8,14,5,10,5,9,18,24,5,13,3,24,23,18,25,5,3,
20,11,22,1,13,20,21,24,22,23,25,25,12,22,23,21,23,17,16,4,12,14,10,1,15,
2,9,7,22,10,4,22,21,13,14,24,1,23,1,19,23,25,18,22,16,9,23,21,1,9,
16,9,17,18,13,20,6,16,8,21,23,2,11,6,25,19,8,18,6,2,11,17,15,11,3,
10,2,17,3,24,13,1,5,2,23,24,3,6,18,6,23,25,20,9,12,20,16,25,23,7,
14,11,20,22,6,13,16,25,9,13,14,9,12,13,6,8,4,8,14,3,21,21,15,9,16,
17,25,8,25,14,16,13,4,8,19,1,9,19,17,18,16,5,14,2,3,4,17,18,16,19,
7,15,19,4,13,4,7,17,23,17,7,4,12,20,2,18,3,6,16,2,12,14,22,3,6,
4,19,21,8,16,19,8,8,19,14,11,22,19,1,12,4,14,13,16,16,8,4,2,1,7,
11,2,17,23,6,24,8,4,6,20,20,16,11,18,24,6,24,7,24,5,1,1,9,15,6,
20,21,23,20,4,8,5,4,1,17,24,15,6,21,10,15,4,24,15,20,20,7,25,16,11,
23,19,24,14,8,25,11,15,16,13,6,13,5,25,6,23,25,24,2,1,19,3,24,3,23,
24,4,1,22,20,4,17,21,16,19,3,25,18,17,22,23,15,11,21,12,6,25,13,3,19,
4,17,16,9,10,24,20,2,17,5,2,6,16,12,23,8,5,6,19,22,4,6,13,18,6,
16,24,7,8,25,5,11,20,17,17,12,16,17,13,11,19,24,1,21,15,7,2,16,14,22,
19,24,5,25,3,19,9,19,6,20,8,10,15,3,17,14,17,3,17,14,14,23,22,4,10,
14,10,9,8,12,7,16,21,14,14,12,2,9,24,3,25,4,25,12,7,17,20,15,16,18,
