14,19,11,15,20,9,6,18,3,8,5,2,2,18,13,5,15,14,9,5,
10,9,16,7,16,8,20,14,13,19,2,14,11,6,19,2,18,1,4,17,
1,17,5,3,8,15,13,10,11,5,4,18,8,9,3,4,14,4,19,18,
17,3,16,12,1,8,11,4,5,7,7,5,11,12,7,7,11,2,9,18,
3,17,12,14,19,5,12,7,6,11,5,12,11,7,12,1,3,6,2,19,
5,4,10,5,12,13,1,19,2,9,14,6,1,5,18,10,19,7,6,3,
16,15,5,19,6,3,2,3,2,19,14,20,11,19,19,3,17,4,4,16,
11,13,17,14,16,11,4,11,9,15,13,14,2,3,13,4,5,4,20,18,
17,18,3,7,5,15,4,16,18,5,19,17,8,8,13,10,9,10,3,6,
7,16,14,15,9,20,9,9,12,3,20,18,4,9,1,18,7,17,20,13,
5,2,5,10,10,6,10,2,19,4,2,18,2,6,16,20,20,3,7,16,
20,8,6,8,20,17,3,17,3,12,8,20,6,8,13,8,17,14,19,7,
2,19,6,6,14,14,7,17,11,5,18,11,18,5,8,5,6,9,10,5,
10,16,13,19,15,18,3,1,5,7,20,18,18,14,14,11,7,16,5,2,
8,17,15,15,8,17,14,4,6,6,15,19,9,10,16,7,14,5,11,20,
2,10,15,9,6,6,12,8,10,7,12,4,11,14,18,4,2,14,3,6,
19,15,15,5,1,9,1,4,9,12,15,3,18,8,4,5,8,11,12,1,
10,17,17,2,1,6,11,12,7,11,9,6,19,15,15,6,16,11,3,5,
3,3,14,11,17,2,5,20,3,7,11,19,18,10,8,20,11,3,16,11,
15,16,10,3,11,16,1,2,3,13,3,20,15,20,1,16,16,14,5,12,
